time,receiverId,transmitterId,receiverPower,receiverDeviceModel,transmitterDeviceModel
55,13,1,-84.19981708995172,model013,model013
55,13,1,-80.7504911870826,model013,model013
55,14,12,-75.82489355600255,model013,model013
55,15,3,-87.07712762842019,model013,model013
55,20,10,-79.11286663722149,model013,model013
55,21,23,-83.51641083378706,model013,model013
55,23,21,-83.51641083378706,model013,model013
55,23,28,-86.51837007095463,model013,model013
55,27,4,-84.8453827416061,model013,model013
55,27,12,-84.80552728414217,model013,model013
55,28,23,-86.51837007095463,model013,model013
55,1,13,-80.7504911870826,model013,model013
55,3,15,-87.07712762842019,model013,model013
55,4,17,-82.48173488445659,model013,model013
55,4,20,-79.67159269732728,model013,model013
55,10,20,-79.11286663722149,model013,model013
55,12,14,-75.82489355600255,model013,model013
55,14,18,-84.25174416925199,model013,model013
55,17,4,-82.48173488445659,model013,model013
55,17,20,-81.03742662598708,model013,model013
55,18,14,-84.25174416925199,model013,model013
55,20,4,-79.67159269732728,model013,model013
55,20,17,-81.03742662598708,model013,model013
60,1,13,-82.0275108584593,model013,model013
60,4,27,-85.46336340654564,model013,model013
60,9,6,-87.17873788715929,model013,model013
60,12,27,-85.26132765670019,model013,model013
60,13,1,-82.0275108584593,model013,model013
60,13,1,-85.91556697106464,model013,model013
60,14,12,-84.01120863909253,model013,model013
60,20,10,-83.46361500621919,model013,model013
60,23,2,-87.33849454837193,model013,model013
60,27,4,-85.46336340654564,model013,model013
60,27,12,-85.26132765670019,model013,model013
60,1,13,-85.91556697106464,model013,model013
60,2,23,-87.33849454837193,model013,model013
60,4,17,-82.95446751836974,model013,model013
60,4,20,-86.34717182584549,model013,model013
60,6,9,-87.17873788715929,model013,model013
60,10,20,-83.46361500621919,model013,model013
60,12,14,-84.01120863909253,model013,model013
60,14,18,-87.61226376946938,model013,model013
60,17,4,-82.95446751836974,model013,model013
60,17,20,-86.77008888097404,model013,model013
60,17,24,-85.79147803448275,model013,model013
60,18,14,-87.61226376946938,model013,model013
60,20,4,-86.34717182584549,model013,model013
60,20,17,-86.77008888097404,model013,model013
60,24,17,-85.79147803448275,model013,model013
65,1,13,-79.91522773287784,model013,model013
65,4,27,-86.04048754910363,model013,model013
65,5,15,-82.27149791312951,model013,model013
65,5,3,-84.37626779450564,model013,model013
65,9,6,-86.50309024514644,model013,model013
65,12,27,-85.86484844432098,model013,model013
65,13,1,-79.91522773287784,model013,model013
65,15,5,-82.27149791312951,model013,model013
65,27,4,-86.04048754910363,model013,model013
65,27,12,-85.86484844432098,model013,model013
65,3,5,-84.37626779450564,model013,model013
65,4,17,-84.4348489987494,model013,model013
65,6,9,-86.50309024514644,model013,model013
65,17,4,-84.4348489987494,model013,model013
65,17,24,-84.60327187151316,model013,model013
65,24,17,-84.60327187151316,model013,model013
70,1,13,-78.96124923745549,model013,model013
70,2,16,-86.51154608171468,model013,model013
70,4,27,-86.5818013262616,model013,model013
70,5,3,-85.57474077174203,model013,model013
70,8,28,-86.42684039539206,model013,model013
70,9,6,-85.7996629652692,model013,model013
70,10,13,-84.20512342346535,model013,model013
70,12,27,-86.55700924790928,model013,model013
70,13,1,-78.96124923745549,model013,model013
70,27,4,-86.5818013262616,model013,model013
70,27,12,-86.55700924790928,model013,model013
70,3,5,-85.57474077174203,model013,model013
70,4,17,-86.20834613144399,model013,model013
70,6,9,-85.7996629652692,model013,model013
70,13,10,-84.20512342346535,model013,model013
70,16,2,-86.51154608171468,model013,model013
70,17,4,-86.20834613144399,model013,model013
70,17,24,-83.27617569733201,model013,model013
70,18,23,-87.18317458120696,model013,model013
70,23,18,-87.18317458120696,model013,model013
70,24,17,-83.27617569733201,model013,model013
70,28,8,-86.42684039539206,model013,model013
75,1,13,-80.0636854796638,model013,model013
75,2,16,-83.65618489970147,model013,model013
75,4,27,-87.09147374220233,model013,model013
75,6,30,-81.19268379268108,model013,model013
75,8,28,-73.6584315915885,model013,model013
75,9,6,-85.0747730257037,model013,model013
75,10,13,-87.50560558265389,model013,model013
75,12,27,-87.29060122458188,model013,model013
75,13,1,-80.0636854796638,model013,model013
75,27,4,-87.09147374220233,model013,model013
75,27,12,-87.29060122458188,model013,model013
75,6,9,-85.0747730257037,model013,model013
75,7,14,-79.12549931534741,model013,model013
75,13,10,-87.50560558265389,model013,model013
75,14,7,-79.12549931534741,model013,model013
75,16,2,-83.65618489970147,model013,model013
75,17,24,-81.80304655818922,model013,model013
75,18,23,-87.222563615333,model013,model013
75,23,18,-87.222563615333,model013,model013
75,24,17,-81.80304655818922,model013,model013
75,28,8,-73.6584315915885,model013,model013
75,30,6,-81.19268379268108,model013,model013
80,1,13,-82.20936538909737,model013,model013
80,4,27,-87.57298813595739,model013,model013
80,8,28,-86.11581875818871,model013,model013
80,9,6,-84.34057961879044,model013,model013
80,13,1,-82.20936538909737,model013,model013
80,27,4,-87.57298813595739,model013,model013
80,6,9,-84.34057961879044,model013,model013
80,7,14,-86.17273971167165,model013,model013
80,14,7,-86.17273971167165,model013,model013
80,17,24,-80.21717403767535,model013,model013
80,24,17,-80.21717403767535,model013,model013
80,28,8,-86.11581875818871,model013,model013
85,1,13,-84.36554530564176,model013,model013
85,9,6,-83.61807373805372,model013,model013
85,13,1,-84.36554530564176,model013,model013
85,6,9,-83.61807373805372,model013,model013
85,16,30,-85.47434843252277,model013,model013
85,17,24,-78.67012620986915,model013,model013
85,24,17,-78.67012620986915,model013,model013
85,30,16,-85.47434843252277,model013,model013
90,1,13,-86.25585795844431,model013,model013
90,9,6,-82.94036719996741,model013,model013
90,13,1,-86.25585795844431,model013,model013
90,23,25,-79.4970637553848,model013,model013
90,25,23,-79.4970637553848,model013,model013
90,6,9,-82.94036719996741,model013,model013
90,10,35,-80.95697116542073,model013,model013
90,16,30,-81.23852545160622,model013,model013
90,17,24,-77.55475507630337,model013,model013
90,24,17,-77.55475507630337,model013,model013
90,30,16,-81.23852545160622,model013,model013
90,35,10,-80.95697116542073,model013,model013
95,9,6,-82.35451702749987,model013,model013
95,16,38,-87.46218540948533,model013,model013
95,21,3,-83.81304108254596,model013,model013
95,23,25,-81.89338332349514,model013,model013
95,25,23,-81.89338332349514,model013,model013
95,30,11,-86.16377133909654,model013,model013
95,3,21,-83.81304108254596,model013,model013
95,6,9,-82.35451702749987,model013,model013
95,11,30,-86.16377133909654,model013,model013
95,16,30,-73.0841142437916,model013,model013
95,17,24,-77.41167698609878,model013,model013
95,18,36,-84.2448523118786,model013,model013
95,24,17,-77.41167698609878,model013,model013
95,29,30,-87.56066918794156,model013,model013
95,30,16,-73.0841142437916,model013,model013
95,30,29,-87.56066918794156,model013,model013
95,36,18,-84.2448523118786,model013,model013
95,38,16,-87.46218540948533,model013,model013
100,5,29,-86.04828124446747,model013,model013
100,9,6,-81.91828544997037,model013,model013
100,21,3,-81.45511443160504,model013,model013
100,30,11,-78.17865503031533,model013,model013
100,3,21,-81.45511443160504,model013,model013
100,3,22,-85.3226523182898,model013,model013
100,5,40,-84.5794507536689,model013,model013
100,6,9,-81.91828544997037,model013,model013
100,11,30,-78.17865503031533,model013,model013
100,16,29,-87.64678561165078,model013,model013
100,16,30,-71.68837090700863,model013,model013
100,17,24,-78.33058745808295,model013,model013
100,18,36,-80.0480756782475,model013,model013
100,22,3,-85.3226523182898,model013,model013
100,24,17,-78.33058745808295,model013,model013
100,26,37,-82.06387990630392,model013,model013
